route_number,weekday_headway_sec,saturday_headway_sec,holiday_headway_sec
마포06,540,600,660
마포07,720,720,720
마포08,720,720,720
마포09,540,540,600
마포10,600,660,660
마포11,900,1080,1080
마포12,900,1080,1080
마포13,1620,1620,1620
마포15,660,840,1140
마포16,900,900,900
마포17,600,660,660
마포18,540,900,900
마포18-1,300,900,900
마포순환열차버스,2400,2400,2400
상암A21,3600,,
새벽A148,,,
새벽A160,,,
새벽A504,,,
새벽A741,,,
서대문01,780,1080,1080
서대문02대,660,900,900
서대문02소,1200,1200,1200
서대문03,300,360,420
서대문04,780,1020,1020
서대문05,540,600,660
서대문06,720,840,840
서대문07,1500,1500,1500
서대문08,900,1080,1080
서대문09대,540,540,840
서대문09소,1260,1260,1260
서대문10,960,960,960
서대문11,960,960,960
서대문12,720,1020,1020
서대문13,1680,1680,1680
서대문14,660,1140,1140
서대문15,840,840,840
서대문A01,1500,,
서울01출근,1080,,
서울01퇴근,1200,,
서울02출근,600,,
서울02퇴근,1200,,
서울03출근,1380,,
서울03퇴근,1200,,
서울04출근,900,,
서울04퇴근,1200,,
서울05출근,900,,
서울05퇴근,1200,,
서울06출근,1080,,
서울06퇴근,1200,,
서울07출근,1080,,
서울07퇴근,1200,,
서울08출근,1080,,
서울08퇴근,1200,,
서울09출근,1080,,
서울09퇴근,1200,,
서울10출근,1080,,
서울10퇴근,1200,,
서초01,1500,1500,1500
서초02,840,1140,1260
서초03,840,900,900
서초05,1560,1920,1920
서초06,1260,1500,1500
서초07,1200,1200,1200
서초08,720,1200,1440
서초09,780,960,960
서초10,600,840,960
서초11,780,900,1020
서초13,660,780,1020
서초14,540,660,780
서초15,720,720,720
서초16,900,1020,1260
서초17,660,900,1020
서초18,720,900,1200
서초18-1,1260,1500,1500
서초20,1500,1500,1500
서초21,720,840,1020
서초22,660,660,1020
성동01,420,540,540
성동02,900,1140,1140
성동03-1,600,720,720
성동03-2,1080,1080,1080
성동05,660,720,840
성동08,600,660,660
성동09,660,780,900
성동10,840,1020,1140
성동12,900,1080,1260
성동13,1500,1500,1500
성동14,720,1320,1320
성동15,1200,1380,1500
성북01,540,600,660
성북02,780,840,840
성북03,840,900,900
성북04,540,720,720
성북05,1440,1440,1440
성북06,1260,1260,1260
성북07,780,900,900
성북08,600,780,780
성북09,900,900,900
성북10,600,720,720
성북12,1140,1440,1440
성북13,720,720,720
성북14-1,900,1320,1320
성북14-2,780,840,840
성북15,1260,1380,1380
성북20,1020,1500,1500
성북21,1020,1320,1320
성북22,600,720,720
송파01,1080,1080,1080
송파02,780,780,780
송파03,1500,1500,1500
심야A21,8400,,
양천01,360,420,600
양천02,420,480,600
양천03,600,780,780
양천04,600,660,780
영등포01,600,660,720
영등포02,720,840,1080
영등포03,840,1200,1200
영등포04,540,660,660
영등포05,900,1200,1200
영등포06,1140,1380,1380
영등포07,1020,1260,1260
영등포08,660,1020,1020
영등포09,600,720,720
영등포10,840,1080,1080
영등포11,720,900,900
영등포12,1020,1260,1320
영등포13,900,1200,1200
용산01,900,900,1140
용산02,480,600,600
용산03,660,780,780
용산04,480,600,660
은평02,1080,1080,1080
은평03-1,900,900,1260
은평03-2,900,900,900
은평04,960,960,960
은평05,720,840,1020
은평06,1080,1380,1380
은평07,840,1260,1260
은평08-1,1020,1020,1260
은평08-2,1020,1020,1260
은평09,900,900,1260
은평10,1080,1500,1500
종로01,900,900,1020
종로02,720,780,780
종로03,540,600,600
종로05,600,600,600
종로07,1080,1080,
종로08,420,420,420
종로09,600,780,780
종로11,600,600,600
종로12,660,660,660
종로13,900,1080,1080
중랑01,1500,1500,1500
중랑02,480,540,540
청계A01,1800,,
청와대A01,1200,,
한강마곡,900,,
한강버스(동부압구정),7200,7200,7200
한강버스(동부옥수),7200,7200,7200
한강버스(서부),3600,3600,3600
한강잠실,900,,
N13,1500,1500,1500
N15,1200,1200,1200
N16,1500,1500,1500
N26,1380,1380,1380
N30,2400,2400,2400
N31,2280,2280,2280
N37,1800,1800,1800
N51,2220,2220,2220
N61,1200,1200,1200
N62,1200,1200,1200
N64,1980,1980,1980
N72,1680,1680,1680
N73,2100,2100,2100
N75,1680,1680,1680
N6000,4200,4200,4200
N6002,5400,5400,5400
N6701,6000,6000,6000
N6703,4800,4800,4800
TOUR01,1800,1800,1800
TOUR02,3600,3600,3600
TOUR04,,,
TOUR11,2400,2400,2400
TOUR12,3900,3960,3960
